player,image
A. Balde,playersImages/A. Balde.jpeg
A. Collado,
A. Davies,playersImages/A. Davies.png
A. Diallo,playersImages/A. Diallo.jpeg
A. Ezzalzouli,playersImages/A. Ezzalzouli.png
A. Fati,playersImages/A. Fati.png
A. Gibbons,
A. Hakimi,playersImages/A. Hakimi.jepg
A. Isak,playersImages/Isak.png
A. Odriozola,playersImages/A. Odriozola.png
A. Rudiger,playersImages/A. Rudiger.png
A. Saint-Maximin,playersImages/SaintMaximin.png
A. Tchouameni,playersImages/A. Tchouameni.png
Antony,playersImages/Antony.png
B. Badiaghile,playersImages/B. Badiaghile.png
B. Fernandes,playersImages/B. Fernandes.png
B. Guinaraes,playersImages/BGuinaraes.jpeg
B. Pavard,playersImages/B. Pavard.png
B. Sarr,playersImages/B. Sarr.png
C. Dagba,playersImages/C. Dagba.png
C. Romero,playersImages/C. Romero.png
C. Soler,playersImages/C. Soler.jpeg
C. Wood,playersImages/C. Wood.jpeg
Casemiro,playersImages/Casemiro.jpeg
D. Bernard,playersImages/D. Bernard.jpeg
D. Burn,playersImages/ D. Burn.jpeg
D. Callos,
D. Carvajal,playersImages/D. Carvajal.png
D. Costa,playersImages/D. Costa.png
D. Dalot,playersImages/D. Dalot.png
D. Rice,playersImages/D. Rice.png
D. Upamecano,playersImages/D. Upamecano.webp
D. Vlahovic,playersImages/D. Vlahovic.jpeg
E. Camavinga,playersImages/E. Camavinga.jpeg
E. Fernandez,playersImages/E. Fernandez.jpeg
E. Garcia,playersImages/E. Garcia.webp
E. Haaland,playersImages/E. Haaland.webp
E. Krafth,playersImages/E. Krafth.jpeg
E. Militao,playersImages/E. Militao.png
E. Santos,
F. Cardenas,
F. de Jong,playersImages/F. de Jong.webp
F. Kessie,playersImages/F. Kessie.png
F. Mendy,playersImages/F. Mendy.jpeg
F. Miretti,playersImages/F. Miretti.png
F. Muller,
F. Trincao,playersImages/F. Trincao.jpeg
F. Valverde,playersImages/F. Valverde.png
G. Donnarumma,playersImages/G. Donnarumma.png
G. Inacio,playersImages/GIncio.webp
G. Ramos,playersImages/g.ramos.webp
H. Mejbri,playersImages/H. Mejbri.webp
Ilias,playersImages/Ilias.jpeg
J. Bellingham,playersImages/J. Bellingham.png
J. Bernat,playersImages/J. Bernat.png
J. Felix,playersImages/J. Felix.webp
J. Frimpong,playersImages/J. Frompong.png
J. Gvardiol,playersImages/J. Gvardiol.png
J. Holden,
J. Kounde,playersImages/J. Kounde.webp
J. Lascelles,playersImages/J. Lascelles.png
J. Lewis,
J. Musiala,playersImages/J. Musiala.png
J. Sancho,playersImages/J. Sancho.png
J. Todibo,playersImages/J. Todibo.jpeg
J. Willock,playersImages/JWilock.png
K. Adeyemi,playersImages/K. Adeyemi.png
K. Mbappe,playersImages/mbappe.jpeg
K. Trippier,playersImages/KTrippier.webp
K. Watts,
L. Gilles,
L. Goretzka,playersImages/L. Goretzka.png
L. Martinez,playersImages/L. Martinez.jpeg
L. Messi,playersImages/L. Messi.jpeg
L. Paredes,playersImages/L. Paredes.webp
M. Asensio,playersImages/M. Asensio.png
M. de Ligt,playersImages/M. de Ligt.png
M. Gusto,playersImages/M. Gusto.webp
M. Longstaff,playersImages/MLongstaff.png
M. Mount,playersImages/M. Mount.png
M. Neuer,playersImages/M. Neuer.png
M. Odegaard,playersImages/M. Odegaard.png
M. Rashford,playersImages/M. Rashford.png
M. Tel,playersImages/M. Tel.png
M. ter Stegen,playersImages/M. ter Stegen.png
M. Verratti,playersImages/M. Verratti.jpg
Marquinhos,playersImages/Marquinhos.jpeg
N. Gonzalez,
N. Mazraoui,playersImages/N. Mazraoui.webp
N. Mendes,playersImages/N. Mendes.jpeg
N. Pope,playersImages/N. Pope.png
Neymar Jr.,playersImages/Neymar Jr..jpeg
O. Dembele,playersImages/O. Dembele.png
O. Kokcu,playersImages/O. Kokcu.png
O. Reyna,
O. Villalba,
P. Carvajal,
P. Gavi,playersImages/P. Gavi.webp
P. Kimpembe,playersImages/P. Kimpembe.jpeg
P. Sarabia,playersImages/P. Sarabia.jpeg
Pedri,playersImages/Pedri.png
R. Ahemd,
R. Ait Nouri,playersImages/R. Ait Nouri.jpeg
R. Fraser,playersImages/R. Fraser.png
R. Gravenberch,playersImages/R. Gravenberch.jpeg
R. Leao,playersImages/R. Leao.jpeg
R. Lewandowski,playersImages/R. Lewandowski.png
R. Sanches,playersImages/R. Sanches.jpeg
Raphinha,playersImages/Raphinha.webp
Rodrygo,playersImages/Rodrygo.jpeg
S. Botman,playersImages/SBotman.png
S. Gnabry,playersImages/S. Gnabry.webp
S. Longstaff,
S. Mane,playersImages/S. Mane.webp
S. McTominay,playersImages/S. McTominay.png
S. Prieto,
S. Ramos,playersImages/S. Ramos.jpeg
S. Tonali,playersImages/S. Tonali.png
T. Dragovic,
T. Hernandez,playersImages/T. Hernandez.webp
T. Kroos,playersImages/T. Kroos.png
T. Pembele,playersImages/T. Pembele.png
T. Tomiyasu,playersImages/T. Tomiyasu.png
V. Lindelof,playersImages/V. Lindelof.png
V. Osimhen,playersImages/V. Osimhen.webp
Vinicius Jr.,playersImages/Vinicius Jr..png
Vitinha,playersImages/Vitinha.png
W. Saliba,playersImages/W. Saliba.webp
X. Simons,playersImages/X. Simons.png
Y. Chermiti,playersImages/Y. Chermiti.jpeg
Y. Moukoko,playersImages/Y. Moukoko.png
Y. Pino,playersImages/pino.png
